STATEFP10,COUNTYFP10,TRACTCE10,GEOID10,NAME10,NAMELSAD10,MTFCC10,FUNCSTAT10,ALAND10,AWATER10,GEOGRAPH,TRACT,POVERTY200,TRACTCE,PERCENT_CA,PERCENT_TR,PERCENT_WA,TOTAL_POP,UNEMPLOYME,POVERTY_RA,MEDIAN_INC,PERCENT_BL,PERCENT_HI,HOME_OWN,F15_FI_RATE,F15_FI_POP,F15_LB_NEED,F15_LB_UNME,F15_DISTRIB,F15_PPIN,FY_FI_RATE,FY_FI_POP,FY_LB_UNME,FY_DISTRIB,FY_PPIN,F14_FI_RATE,F14_LB_UNME,F14_DISTRIB,F14_PPIN,GIS_ID,GLOBALID,CREATED,EDITED,SHAPEAREA,SHAPELEN,OBJECTID
24,031,700204,24031700204,7002.04,Census Tract 7002.04,G5020,S,37656615,104362,24031700204,700204,0,700204,96.9,1.4,1.7,2059,0.067,0.034,84175,0.007,0.095,0.943,0.054,111.186,23349.06,23349.06,0,0,5.4,111.186,23349.06,0,0,5.5,24959.55,0,0,CAFB_Hunger_Heat_Map_35,{44C768E0-B293-448B-8967-8698354F92FE},,,0,0,1
24,031,700208,24031700208,7002.08,Census Tract 7002.08,G5020,S,13713433,28933,24031700208,700208,0,700208,96.3,3.3,0.4,1937,0.049,0.007,100375,0.021,0.045,0.956,0.042,81.354,17084.34,17084.34,0,0,4.2,81.435354,17101.42434,0,0,4.1,15885.449841,0,0,CAFB_Hunger_Heat_Map_36,{031EE5E5-8E0E-4717-97FD-3B3939234C06},,,0,0,2
24,031,700312,24031700312,7003.12,Census Tract 7003.12,G5020,S,58083234,2214369,24031700312,700312,0,700312,92.7,6.3,1,5980,0.028,0.026,132993,0.181,0.096,0.82,0.045,269.1,56511,56511,0,0,4.5,268.8309,56454.489,0,0,4.9,58221.180103,123.12,0.443148,CAFB_Hunger_Heat_Map_37,{E7C6164C-844D-4F17-AD30-3A5FB9DB3CDD},,,0,0,3
24,031,700103,24031700103,7001.03,Census Tract 7001.03,G5020,S,70050067,385901,24031700103,700103,0,700103,94,4.1,1.9,5776,0.066,0.033,154265,0.096,0.069,0.944,0.043,248.368,52157.28,50958.413292,1198.866708,4.826977,4.3,248.616368,50645.974374,1563.462906,6.288656,3.8,45539.408894,1007.93,4.547317,CAFB_Hunger_Heat_Map_38,{02DB2CBD-696D-455A-A92C-468A0EE2C592},,,0,0,4
24,031,700207,24031700207,7002.07,Census Tract 7002.07,G5020,S,5699396,3869,24031700207,700207,0,700207,94.5,4.6,0.9,5496,0.089,0.143,84531,0.189,0.151,0.775,0.109,599.064,125803.44,125803.44,0,0,10.9,598.464936,125677.63656,0,0,11.6,142838.481003,252.16,0.370071,CAFB_Hunger_Heat_Map_39,{9AC5286D-8288-4325-B979-C1D9CCD30CC4},,,0,0,5
24,031,700400,24031700400,7004,Census Tract 7004,G5020,S,93079345,364854,24031700400,700400,0,700400,93.7,4.8,1.5,2179,0.085,0.057,123173,0.059,0.023,0.859,0.079,172.141,36149.61,36149.61,0,0,7.9,172.141,36149.61,0,0,5.7,26010.81,0,0,CAFB_Hunger_Heat_Map_40,{B5EEB5EC-59AB-4083-9707-BFBA5EE7A1A6},,,0,0,6
24,031,700101,24031700101,7001.01,Census Tract 7001.01,G5020,S,29846389,98358,24031700101,700101,0,700101,95.6,4.4,0,4477,0.066,0.023,159663,0.128,0.108,0.965,0.035,156.695,32905.95,31827.844956,1078.105044,6.880277,3.5,156.695,31598.766187,1307.183813,8.342218,3.1,27469.796355,1349.97,9.836805,CAFB_Hunger_Heat_Map_41,{E679FE9C-1E46-40D1-9830-70E8DF597D29},,,0,0,7
24,031,700206,24031700206,7002.06,Census Tract 7002.06,G5020,S,12810384,16674,24031700206,700206,0,700206,95.9,3.6,0.5,5616,0.05,0.023,125593,0.069,0.079,0.96,0.036,202.176,42456.96,41872.306673,584.653327,2.891804,3.6,202.378176,42019.704731,479.712229,2.370375,4.2,50567.216861,685.8,2.809953,CAFB_Hunger_Heat_Map_42,{9504D7BA-CDFB-49EE-9F79-FB7BCB7B5332},,,0,0,8
24,031,700205,24031700205,7002.05,Census Tract 7002.05,G5020,S,23427020,57501,24031700205,700205,0,700205,95,5,0,6778,0.031,0.021,149537,0.106,0.096,0.963,0.019,128.782,27044.22,26610.481509,433.738491,3.368006,1.9,128.782,26614.906447,429.313553,3.333646,1.4,18509.855478,808.88,8.792797,CAFB_Hunger_Heat_Map_43,{716C73FE-F515-4912-91CA-CB99371B841B},,,0,0,9
24,031,700311,24031700311,7003.11,Census Tract 7003.11,G5020,S,11226664,20493,24031700311,700311,0,700311,94.5,5.2,0.3,7918,0.072,0.012,130114,0.153,0.123,0.875,0.054,427.572,89790.12,88571.716089,1218.403911,2.849588,5.4,427.572,88800.805844,989.314156,2.313795,5,71356.615401,200.88,0.589537,CAFB_Hunger_Heat_Map_44,{376208FC-3C8B-4BF0-BEA5-B481CD485892},,,0,0,10
24,031,701317,24031701317,7013.17,Census Tract 7013.17,G5020,S,34784185,2465792,24031701317,701317,0,701317,91.5,7.2,1.3,4243,0.054,0.004,161944,0.131,0.036,0.927,0.039,165.477,34750.17,33998.902627,751.267373,4.540011,3.9,165.477,33697.596432,1052.573568,6.360845,4.3,38047.853838,374.8,2.048458,CAFB_Hunger_Heat_Map_45,{D16701DF-C10B-469A-9804-46A93D1E6AA0},,,0,0,11
24,031,700500,24031700500,7005,Census Tract 7005,G5020,S,165637386,15905379,24031700500,700500,0,700500,91.6,5.5,2.9,6291,0.049,0.021,104648,0.104,0.082,0.909,0.05,314.55,66055.5,66055.5,0,0,5,314.55,66055.5,0,0,4.4,56576.52,0,0,CAFB_Hunger_Heat_Map_46,{32C5630B-C743-4F03-88BE-82D55D342496},,,0,0,12
24,031,700304,24031700304,7003.04,Census Tract 7003.04,G5020,S,5497738,26281,24031700304,700304,0,700304,83.4,14.3,2.3,7766,0.062,0.084,104956,0.262,0.13,0.667,0.099,768.834,161455.14,155336.448298,6118.691702,7.958404,9.9,768.834,157151.249759,4303.890241,5.597945,8.7,131572.406902,10294.14,15.238051,CAFB_Hunger_Heat_Map_47,{144AE81A-932B-41E3-8BA8-CA18B6140B01},,,0,0,13
